table,column_name,r_type,unit,description,missing_semantics
observations,observation_id,character,,資料内観測を一意にするID,欠損不可
observations,source_dataset,character,,資料種別,欠損不可
observations,source_year,integer,year,資料年,欠損不可
observations,reference_date,Date,date,価格の基準日,欠損不可
observations,source_schema_era,character,,入力スキーマ期,欠損不可
observations,source_file,character,path,入力XMLファイル,欠損不可
observations,source_feature_id,character,,公式XMLの地物ID,欠損時はファイル内行番号
observations,administrative_area_code,character,,行政区域コード,欠損不可
observations,point_index_number,character,,用途区分等の地点番号,欠損不可
observations,point_sequence_number,character,,地点連番,欠損不可
observations,city_name,character,,市区町村名,公式空欄はNA
observations,location,character,,所在および地番,公式空欄はNA
observations,residential_address,character,,住居表示,収録前年度または公式空欄はNA
observations,price_yen_per_m2,double,JPY/m2,公表された名目価格,欠損不可
observations,area_m2,double,m2,地積,公式空欄はNA
observations,current_use_raw,character,,現況利用の原値,公式空欄はNA
observations,current_use_json,character,JSON,現況利用のJSON配列,公式空欄はNA
observations,current_use_status,character,,現況利用の変換状態,原値欠損はNA
observations,current_use_detail_raw,character,,利用詳細の原値,公式空欄はNA
observations,usage_class_raw,character,,利用区分の原コード,収録前年度または公式空欄はNA
observations,usage_class_coarse,character,,資料間で比較できる粗い利用区分,未対応はNA
observations,usage_class_status,character,,利用区分の変換状態,原値欠損はNA
observations,building_structure_raw,character,,建物構造の原値,公式空欄はNA
observations,building_material,character,,建物材質,未対応はNA
observations,floors_above,integer,floor,地上階数,不明または対象外はNA
observations,floors_below,integer,floor,地下階数,不明または対象外はNA
observations,building_parse_status,character,,建物構造の変換状態,原値欠損はNA
observations,water_facility_raw,character,,水道設備の原値,公式空欄はNA
observations,water_available_or_supplied,logical,,水道が供給済みまたは通常工事で供給可能,未対応はNA
observations,water_facility_status,character,,水道設備の変換状態,原値欠損はNA
observations,gas_facility_raw,character,,ガス設備の原値,公式空欄はNA
observations,gas_available_or_supplied,logical,,ガスが供給済みまたは通常工事で供給可能,未対応はNA
observations,gas_facility_status,character,,ガス設備の変換状態,原値欠損はNA
observations,sewage_facility_raw,character,,下水道設備の原値,公式空欄はNA
observations,sewage_available_or_supplied,logical,,下水道が供給済みまたは通常工事で供給可能,未対応はNA
observations,sewage_facility_status,character,,下水道設備の変換状態,原値欠損はNA
observations,shape_raw,character,,画地形状の原値,収録前年度または公式空欄はNA
observations,shape_class_coarse,character,,粗い画地形状区分,曖昧または未対応はNA
observations,shape_mapping_status,character,,画地形状の変換状態,原値欠損はNA
observations,frontage_ratio,double,ratio,間口比,収録前年度または特殊値はNA
observations,depth_ratio,double,ratio,奥行比,収録前年度または特殊値はNA
observations,front_road_class_raw,character,,前面道路種別の原値,収録前年度または公式空欄はNA
observations,front_road_class_coarse,character,,粗い前面道路種別,曖昧または未対応はNA
observations,front_road_class_status,character,,前面道路種別の変換状態,原値欠損はNA
observations,front_road_direction,character,,前面道路方位,収録前年度または公式空欄はNA
observations,front_road_width_raw,character,,前面道路幅員の原値,収録前年度または公式空欄はNA
observations,front_road_width_m,double,m,正規化した前面道路幅員,特殊値または単位不明はNA
observations,front_road_width_status,character,,幅員の単位および特殊値状態,原値欠損はNA
observations,pavement_raw,character,,舗装状況の原値,収録前年度または公式空欄はNA
observations,paved,logical,,舗装されているか,曖昧または未対応はNA
observations,pavement_status,character,,舗装状況の変換状態,原値欠損はNA
observations,road_contact_raw,character,,道路接面状況の原値,収録前年度または公式空欄はNA
observations,road_contact_class,character,,道路接面状況の保持値,原値欠損はNA
observations,road_contact_status,character,,道路接面状況の変換状態,原値欠損はNA
observations,side_road_direction,character,,側道方位,収録前年度または公式空欄はNA
observations,surrounding_land_use_raw,character,,周辺土地利用の原文,収録前年度または公式空欄はNA
observations,nearest_transport_name_raw,character,,最寄交通施設名の原値,収録前年度または公式空欄はNA
observations,nearest_transport_kind,character,,最寄交通施設の種類,根拠不足時はunknown
observations,nearest_transport_kind_status,character,,最寄交通施設種別の変換状態,原値欠損はNA
observations,transport_distance_raw,character,,最寄交通施設距離の原値,公式空欄はNA
observations,transport_distance_m,double,m,正規化した交通施設距離,特殊値はNA
observations,transport_access_status,character,,距離の報告または近接状態,原値欠損はNA
observations,legal_restrictions_raw_json,character,JSON,旧複合法規制の原値配列,収録されない年度はNA
observations,use_district_raw,character,,用途地域の原値,収録前年度または公式空欄はNA
observations,use_district_code,character,,用途地域の標準コード,曖昧または未対応はNA
observations,fire_area_raw,character,,防火地域の原値,収録前年度または公式空欄はNA
observations,fire_area_code,character,,防火地域の標準コード,曖昧または未対応はNA
observations,urban_planning_area_raw,character,,都市計画区域の原値,収録前年度または公式空欄はNA
observations,urban_planning_area_code,character,,都市計画区域の標準コード,曖昧または未対応はNA
observations,forest_law_raw,character,,森林法制限の原値,未収録または公式空欄はNA
observations,forest_law_code,character,,森林法制限の標準コード,曖昧または未対応はNA
observations,parks_law_raw,character,,自然公園法制限の原値,未収録または公式空欄はNA
observations,parks_law_code,character,,自然公園法制限の標準コード,曖昧または未対応はNA
observations,zoning_mapping_status,character,,法規制変換の状態,法規制原値欠損はNA
observations,building_coverage_pct_raw,character,percent,建蔽率の原値,公式空欄はNA
observations,building_coverage_pct,double,percent,正規化した建蔽率,0の特殊値はNA
observations,building_coverage_status,character,,建蔽率の報告状態,原値欠損はNA
observations,floor_area_ratio_pct_raw,character,percent,容積率の原値,公式空欄はNA
observations,floor_area_ratio_pct,double,percent,正規化した容積率,0の特殊値はNA
observations,floor_area_ratio_status,character,,容積率の報告状態,原値欠損はNA
observations,extra_floor_area_ratio_raw,character,,割増容積率の原値,収録前年度または公式空欄はNA
observations,extra_floor_area_ratio_flag,logical,,割増容積率の有無,未対応はNA
observations,extra_floor_area_ratio_status,character,,割増容積率の変換状態,原値欠損はNA
observations,geometry,sfc_POINT,EPSG:6668,JGD2011の地点geometry,欠損不可
observations,longitude,double,degree,JGD2011経度のCSV表現,欠損不可
observations,latitude,double,degree,JGD2011緯度のCSV表現,欠損不可
attributes,observation_id,character,,中核観測への外部キー,欠損不可
attributes,source_dataset,character,,資料種別,欠損不可
attributes,source_year,integer,year,資料年,欠損不可
attributes,attribute_name,character,,元XMLの葉要素名,欠損不可
attributes,attribute_path,character,,元XML内の相対要素パス,欠損不可
attributes,value_index,integer,,同じ属性内の値順,欠損不可
attributes,raw_value,character,,元XMLの値,欠損不可
source_metadata,source_dataset,character,,資料種別,欠損不可
source_metadata,source_year,integer,year,資料年,欠損不可
source_metadata,reference_date,Date,date,価格の基準日,欠損不可
source_metadata,source_schema_era,character,,入力スキーマ期,欠損不可
source_metadata,source_file,character,path,入力XMLファイル,欠損不可
source_metadata,source_crs_epsg,integer,EPSG,変換元CRS,欠損不可
source_metadata,source_axis_order,character,,XML座標の軸順,欠損不可
source_metadata,output_crs_epsg,integer,EPSG,出力CRS,欠損不可
source_metadata,observation_count,integer,row,年度内観測数,欠損不可
quality,source_dataset,character,,資料種別,欠損不可
quality,source_year,integer,year,資料年,欠損不可
quality,observation_count,integer,row,年度内観測数,欠損不可
quality,supplemental_attribute_count,integer,row,年度内補助属性数,欠損不可
quality,missing_location_count,integer,row,所在地欠損数,欠損不可
quality,missing_area_count,integer,row,地積欠損数,欠損不可
