stop_id,stop_name,xml_name,start_date,end_date,phase,current,confidence
1,多賀駅前,多賀駅前,2018-03-26,,phase2_preview,TRUE,high
2,泉町,泉町（日立市）,2018-03-26,,phase2_preview,TRUE,high
3,河原子中学校入口,河原子中学校入口,2018-03-26,,phase2_preview,TRUE,high
4,東多賀町,東多賀町,2018-03-26,,phase2_preview,TRUE,high
5,河原子交流センター入口,河原子交流センター入口,2018-03-26,,phase2_preview,TRUE,high
6,河原子（BRT）,河原子［BRT］,2018-03-26,,phase2_preview,TRUE,high
7,磯坪,磯坪,2018-03-26,,phase2_preview,TRUE,high
8,大沼（BRT）,大沼［BRT］,2018-03-26,,phase2_preview,TRUE,high
9,大沼小学校東,大沼小学校東,2018-03-26,,phase2_preview,TRUE,high
10,寺方,寺方,2018-03-26,,phase2_preview,TRUE,high
11,水木（BRT）,水木［BRT］,2018-03-26,,phase2_preview,TRUE,high
12,泉が森,泉が森,2019-04-01,,phase2_full,TRUE,high
13,大甕駅西口（学園前）,大甕駅西口,2019-04-01,,phase2_full,TRUE,high
14,臨海工場西,臨海工場西,2013-03-25,,phase1,TRUE,high
15,吹上橋,吹上橋,2013-03-25,,phase1,TRUE,high
16,どうのいり公園,どうのいり公園,2013-03-25,,phase1,TRUE,high
17,日立商業高校,日立商業高校,2016-02-01,,phase1_added,TRUE,medium
18,日立商業下,日立商業下,2013-03-25,,phase1,TRUE,high
19,南部図書館,南部図書館,2013-03-25,,phase1,TRUE,high
20,久慈浜,久慈浜,2013-03-25,,phase1,TRUE,high
21,瀬上新橋,瀬上新橋,2013-03-25,,phase1,TRUE,high
22,サンピア日立,サンピア日立,2013-03-25,,phase1,TRUE,high
23,おさかなセンター,おさかなセンター,2013-03-25,,phase1,TRUE,high
24,臨海工場前,臨海工場前,2018-03-26,,factory_branch,TRUE,medium
25,大甕工場前,大甕工場前,2018-03-26,,factory_branch,TRUE,medium
H1,中沢,中沢（日立市）,2013-03-25,2019-03-31,historical_phase1,FALSE,high
H2,大甕駅前（大甕駅東口）,大甕駅東口,2013-03-25,2019-03-31,historical_phase1,FALSE,high
T1,河原子（一般道）,河原子,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T2,河原子十文字,河原子十文字,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T3,荒地町,荒地町,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T4,常盤橋,常盤橋,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T5,老人センター前,老人センター前,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T6,河原子南浜入口,河原子南浜入口,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T7,大沼工場前,大沼工場前,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T8,海端団地,海端団地,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T9,弥平台,弥平台,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T10,水木小学校入口,水木小学校入口,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T11,泉ヶ森入口,泉ヶ森入口,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T12,水木西台,水木西台,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T13,翔洋学園高校前,翔洋学園高校前,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T14,大甕小学校入口,大甕小学校入口,2018-03-26,2019-03-31,temporary_2018,FALSE,high
T15,大甕町一丁目,大甕町1丁目,2018-03-26,2019-03-31,temporary_2018,FALSE,high
